CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,1,0,16,0
2,0,1,32,0
3,1,1,48,0
4,0,2,64,0
5,1,2,80,0
6,0,3,96,0
7,1,3,112,0
8,0,0,0,16
9,1,0,16,16
10,0,1,32,16
11,1,1,48,16
12,0,2,64,16
13,1,2,80,16
14,0,3,96,16
15,1,3,112,16
16,1,2,0,32
17,0,3,16,32
18,1,1,32,32
19,0,1,48,32
20,1,0,64,32
21,0,2,80,32
22,1,3,96,32
23,0,0,112,32
24,0,3,0,48
25,1,1,16,48
26,0,0,32,48
27,1,0,48,48
28,0,2,64,48
29,1,3,80,48
30,0,1,96,48
31,1,2,112,48
32,1,1,0,64
33,0,0,16,64
34,1,2,32,64
35,0,3,48,64
36,1,3,64,64
37,0,2,80,64
38,1,0,96,64
39,0,1,112,64
40,0,2,0,80
41,1,0,16,80
42,0,0,32,80
43,1,3,48,80
44,0,1,64,80
45,1,2,80,80
46,0,3,96,80
47,1,1,112,80
48,0,3,0,96
49,1,2,16,96
50,0,2,32,96
51,1,1,48,96
52,0,1,64,96
53,1,0,80,96
54,0,0,96,96
55,1,3,112,96
56,1,3,0,112
57,0,3,16,112
58,1,1,32,112
59,0,0,48,112
60,1,0,64,112
61,0,2,80,112
62,1,2,96,112
63,0,1,112,112
