Scheduling Policy,ClusterTarget,SMTarget,faultID,X,Y,Golden,GoldenHexa,Faulty, FaultyHexa
DistributedBlock,0,0,44354,7,27,31.5,0x4fe0,31.53125,0x4fe2
TwoLevelRoundRobin,0,0,18261,65,11,24.671875,0x4e2b,24.546875,0x4e23
Greedy,0,0,18261,97,47,28.609375,0x4f27,28.765625,0x4f31
TwoLevelRoundRobin,0,0,18261,81,59,29.53125,0x4f62,29.578125,0x4f65
Greedy,0,0,18261,65,91,25.9375,0x4e7c,26.078125,0x4e85
DistributedBlock,0,0,18261,17,31,30.765625,0x4fb1,30.640625,0x4fa9
DistributedBlock,0,0,18261,17,11,30.4375,0x4f9c,30.234375,0x4f8f
DistributedBlock,0,0,18261,1,31,29.375,0x4f58,29.234375,0x4f4f
Greedy,0,0,18261,1,11,30.421875,0x4f9b,30.21875,0x4f8e
GlobalRoundRobin,0,0,18261,17,15,30.625,0x4fa8,30.828125,0x4fb5
GlobalRoundRobin,0,0,18261,97,43,32.34375,0x500b,32.0625,0x5002
DistributedCTA,0,0,18261,1,79,34.09375,0x5043,33.9375,0x503e
Greedy,0,0,18261,1,79,34.09375,0x5043,33.9375,0x503e
DistributedBlock,0,0,18261,1,11,30.421875,0x4f9b,30.21875,0x4f8e
DistributedCTA,0,0,18261,1,75,31.703125,0x4fed,31.53125,0x4fe2
GlobalRoundRobin,0,0,18261,33,11,29.21875,0x4f4e,29.0625,0x4f44
DistributedBlock,0,0,18261,17,15,30.625,0x4fa8,30.828125,0x4fb5
GlobalRoundRobin,0,0,18261,81,47,31.75,0x4ff0,31.859375,0x4ff7
DistributedCTA,0,0,18261,49,15,29.828125,0x4f75,29.9375,0x4f7c
TwoLevelRoundRobin,0,0,18261,49,79,32.5,0x5010,32.59375,0x5013
TwoLevelRoundRobin,0,0,18261,65,15,24.234375,0x4e0f,24.40625,0x4e1a
GlobalRoundRobin,0,0,18261,113,79,31.515625,0x4fe1,31.34375,0x4fd6
DistributedBlock,0,0,18261,1,27,31.6875,0x4fec,31.625,0x4fe8
Greedy,0,0,18261,1,75,31.703125,0x4fed,31.53125,0x4fe2
TwoLevelRoundRobin,0,0,18261,113,95,30.28125,0x4f92,30.046875,0x4f83
DistributedBlock,0,0,44354,39,75,33.4375,0x502e,33.46875,0x502f
DistributedCTA,0,0,44354,55,107,28.515625,0x4f21,28.53125,0x4f22
DistributedBlock,0,0,18261,17,27,31.6875,0x4fec,31.578125,0x4fe5
GlobalRoundRobin,0,0,18261,113,75,31.0,0x4fc0,31.015625,0x4fc1
GlobalRoundRobin,0,0,18261,97,47,28.609375,0x4f27,28.765625,0x4f31
TwoLevelRoundRobin,0,0,18261,81,63,33.40625,0x502d,33.5,0x5030
DistributedCTA,0,0,18261,17,95,34.65625,0x5055,34.625,0x5054
GlobalRoundRobin,0,0,18261,17,11,30.4375,0x4f9c,30.234375,0x4f8f
DistributedCTA,0,0,18261,17,91,31.25,0x4fd0,31.453125,0x4fdd
DistributedBlock,0,0,18261,33,79,35.0,0x5060,34.84375,0x505b
Greedy,0,0,44354,55,59,26.40625,0x4e9a,26.421875,0x4e9b
DistributedBlock,0,0,44354,7,15,28.203125,0x4f0d,28.21875,0x4f0e
TwoLevelRoundRobin,0,0,18261,113,91,29.1875,0x4f4c,29.40625,0x4f5a
DistributedBlock,0,0,18261,33,95,34.625,0x5054,34.4375,0x504e
Greedy,0,0,18261,97,43,32.34375,0x500b,32.0625,0x5002
Greedy,0,0,18261,49,63,33.09375,0x5023,33.25,0x5028
Greedy,0,0,18261,65,31,26.09375,0x4e86,26.15625,0x4e8a
TwoLevelRoundRobin,0,0,18261,17,11,30.4375,0x4f9c,30.234375,0x4f8f
Greedy,0,0,18261,1,15,30.6875,0x4fac,30.84375,0x4fb6
DistributedCTA,0,0,18261,49,11,26.390625,0x4e99,26.234375,0x4e8f
DistributedCTA,0,0,18261,1,11,30.421875,0x4f9b,30.21875,0x4f8e
GlobalRoundRobin,0,0,18261,1,11,30.421875,0x4f9b,30.21875,0x4f8e
DistributedCTA,0,0,18261,49,111,29.671875,0x4f6b,29.609375,0x4f67
DistributedBlock,0,0,18261,49,91,28.46875,0x4f1e,28.65625,0x4f2a
TwoLevelRoundRobin,0,0,18261,17,15,30.625,0x4fa8,30.828125,0x4fb5
DistributedCTA,0,0,18261,33,27,33.3125,0x502a,33.09375,0x5023
Greedy,0,0,44354,7,15,28.203125,0x4f0d,28.21875,0x4f0e
Greedy,0,0,18261,65,95,26.71875,0x4eae,26.671875,0x4eab
DistributedBlock,0,0,18261,49,79,32.5,0x5010,32.59375,0x5013
GlobalRoundRobin,0,0,18261,1,15,30.6875,0x4fac,30.84375,0x4fb6
TwoLevelRoundRobin,0,0,18261,49,75,31.09375,0x4fc6,30.890625,0x4fb9
DistributedCTA,0,0,44354,7,15,28.203125,0x4f0d,28.21875,0x4f0e
DistributedCTA,0,0,18261,49,107,30.0,0x4f80,30.046875,0x4f83
GlobalRoundRobin,0,0,18261,65,95,26.71875,0x4eae,26.671875,0x4eab
GlobalRoundRobin,0,0,44354,7,15,28.203125,0x4f0d,28.21875,0x4f0e
TwoLevelRoundRobin,0,0,18261,1,11,30.421875,0x4f9b,30.21875,0x4f8e
DistributedCTA,0,0,18261,17,47,33.21875,0x5027,33.3125,0x502a
GlobalRoundRobin,0,0,18261,33,15,30.171875,0x4f8b,30.484375,0x4f9f
DistributedCTA,0,0,18261,17,43,33.0,0x5020,32.65625,0x5015
Greedy,0,0,18261,49,59,29.3125,0x4f54,29.359375,0x4f57
DistributedBlock,0,0,18261,1,15,30.6875,0x4fac,30.84375,0x4fb6
DistributedCTA,0,0,18261,1,15,30.6875,0x4fac,30.84375,0x4fb6
Greedy,0,0,18261,65,27,27.078125,0x4ec5,27.0625,0x4ec4
TwoLevelRoundRobin,0,0,18261,1,15,30.6875,0x4fac,30.84375,0x4fb6
DistributedBlock,0,0,18261,49,75,31.09375,0x4fc6,30.890625,0x4fb9
DistributedBlock,0,0,18261,33,91,30.109375,0x4f87,30.328125,0x4f95
DistributedBlock,0,0,18261,49,95,31.46875,0x4fde,31.1875,0x4fcc
GlobalRoundRobin,0,0,18261,65,91,25.9375,0x4e7c,26.078125,0x4e85
Greedy,0,0,18261,97,111,28.71875,0x4f2e,28.859375,0x4f37
DistributedBlock,0,0,18261,33,75,33.21875,0x5027,33.09375,0x5023
GlobalRoundRobin,0,0,18261,81,43,32.375,0x500c,32.1875,0x5006
DistributedCTA,0,0,18261,33,107,32.875,0x501c,33.0,0x5020
TwoLevelRoundRobin,0,0,44354,7,15,28.203125,0x4f0d,28.21875,0x4f0e
DistributedCTA,0,0,18261,33,31,29.78125,0x4f72,29.546875,0x4f63
